id,name,description
1,A Cộng B,"Viết chương trình cho phép nhập 2 số nguyên *a* và *b* từ bàn phím.\\r\\n\\r\\n**Yêu cầu:** Tính và in ra kết quả a + b.\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\n* 2 số nguyên a và b cách nhau một khoảng trống.\\r\\n\\r\\nGiới hạn:\\r\\n    \\r\\n\\r\\n* |a|, |b| <= 1000.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Gồm một số duy nhất là kết quả a + b.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n1 2\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n3\\r\\n```\\r\\n\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n10 16\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n26\\r\\n```"
2,Hello world,"Xin chào bạn đến với thế giới lập trình.\\r\\n\\r\\n**Yêu cầu:** In ra dòng chữ: Hello World!\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\nKhông có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\nDòng chữ \\""""Hello World!\\"""" không có dấu nháy kép.\\r\\n\\r\\n**Ví dụ** \\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\nHello World!\\r\\n```"
3,Tổng ước nguyên tố - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n12\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n5\\r\\n```
4,Tiền thừa - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n273000\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n7\\r\\n```
5,Chú ếch - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n4\\r\\n1 4 5 3\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n4\\r\\n```
6,Ba ước số,"Cho số tự nhiên N. Yêu cầu: hãy liệt kê tất cả các số không quá N và số đó có đúng ba ước số.\\r\\nVí dụ: N = 50, có các số 4, 9, 25, 49.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Đưa ra kết quả là danh sách các số thỏa mãn yêu cầu đề bài, mỗi số cách nhau 1 khoảng trống.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n50\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n4 9 25 49\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n200\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n4 9 25 49 121 169\\r\\n```"
7,Kiểm tra số nguyên tố,"Số nguyên tố là số tự nhiên chỉ chia hết cho 1 và cho chính nó.\\r\\n\\r\\nVí dụ: 2, 3, 5, 7, 11... là các số nguyên tố. 4, 6, 8... không là số nguyên tố.\\r\\n\\r\\n**Yêu cầu:** Cho một số nguyên dương N, kiểm tra xem số đó có phải là số nguyên tố hay không.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* In ra chữ \\""""YES\\"""" nếu nó là số nguyên tố, ngược lại in ra \\""""NO\\"""".\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n11\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n4\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\nNO\\r\\n```"
8,Lũy thừa,"Viết chương trình tính lũy thừa x^n.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một dòng duy nhất gồm 2 số nguyên dương x và n, mỗi số cách nhau 1 khoảng trống (1 <= x, n<= 10^9).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* In ra kết quả x^n sau khi đã được module cho 10^9 + 7.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n2 3\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n8\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n3 2\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n9\\r\\n```"
10,Tìm số dư,"Viết chương trình nhập vào 2 số nguyên **a** và **b**. Tìm và in ra phần dư của **a** chia **b**.\\r\\n\\r\\nInput\\r\\n----------\\r\\nGồm 1 dòng duy nhất là  2 số nguyên a và b cách nhau bởi khoảng trắng (1 <= a, b <= 10000).\\r\\n\\r\\nOutput\\r\\n----------\\r\\nMột số duy nhất là giá trị tìm được.\\r\\n\\r\\nVí dụ\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n5 2\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n```"
11,Tìm số lớn nhất trong mảng,Cho mảng số nguyên A có n phần tử (1 <= n <= 1000
12,A Cộng B Pro Max,"Cho hai số nguyên không âm *a* và *b*. Hãy tính *a + b*.\\r\\n\\r\\nInput\\r\\n----------\\r\\n- Dòng đầu chứa số a.\\r\\n- Dòng thứ hai chứa số b.\\r\\n\\r\\n**Giới hạn:**\\r\\n- 0 <= a, b <= 10^100000\\r\\n\\r\\nOutput\\r\\n----------\\r\\n- Gồm một dòng duy nhất là kết quả *a + b*.\\r\\n\\r\\nVí dụ\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n123\\r\\n4567\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n4690\\r\\n```"
13,Đường ray tàu hỏa S,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n4\\r\\n1 3 4 2\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n5\\r\\n2 3 5 4 1\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #3**\\r\\n```\\r\\n5\\r\\n1 4 2 3 5\\r\\n```\\r\\n**Output #3**\\r\\n```\\r\\nNO\\r\\n```
15,Nghệ thuật trừu tượng,![Anh](/martor/491d35a3-db72-4c27-9be0-27ed6084da74.png)\\r\\n\\r\\nVí dụ\\r\\n----------\\r\\n**Input** \\r\\n```\\r\\n4 4\\r\\n2 3 5 3\\r\\n2 1 2 2\\r\\n3 4 3 4\\r\\n2 1 3 3\\r\\n```\\r\\n**Output** \\r\\n```\\r\\n13\\r\\n```
16,Lại là ếch đây,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n5 3\\r\\n10 30 40 50 20\\r\\n```\\r\\n\\r\\n**Output**\\r\\n```\\r\\n30\\r\\n```
17,Bộ ba Pytago,Ví dụ\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n2 10\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n```
18,Cửa hàng năng lượng thông minh,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n5 2\\r\\n4 1 7 10 9\\r\\n2 4\\r\\n1 10\\r\\n```\\r\\n\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n3\\r\\n```
19,Bộ ba Pytago 2,Ví dụ 1\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n7\\r\\n7 5 9 10 0 8 6\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n```\\r\\n\\r\\nVí dụ 2\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n9\\r\\n2 3 8 5 6 7 4 9 10\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n```
20,Số đầu cuối,"Số đầu cuối là một số nguyên dương có chữ số đầu và chữ số cuối giống nhau.\\r\\n\\r\\nVí dụ: 1, 2, 3, 5, 8, 22, 101,... là các số đầu cuối, còn 0, 23, 192, ... không phải là số đầu cuối.\\r\\n\\r\\n**Yêu cầu:** Viết chương trình nhập vào từ bàn phím một số nguyên dương n, hãy đếm xem có bao nhiêu số đầu cuối nhỏ hơn hay bằng n.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Một số nguyên dương duy nhất: số lượng số đầu cuối nhỏ hơn hay bằng n .\\r\\n\\r\\nVí dụ 1\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n7\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n7\\r\\n```\\r\\nVí dụ 2\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n75\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n15\\r\\n```\\r\\nVí dụ 3\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n305\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n39\\r\\n```"
21,Số đầu cuối 2,"Số đầu cuối là một số nguyên dương có chữ số đầu và chữ số cuối giống nhau.\\r\\n\\r\\nVí dụ: 1, 2, 3, 5, 8, 22, 101,... là các số đầu cuối, còn 0, 23, 3112, ... không phải là số đầu cuối.\\r\\n\\r\\n**Yêu cầu:** Viết chương trình nhập vào từ bàn phím hai số nguyên dương m và n, hãy đếm xem có bao nhiêu số đầu cuối trong đoạn [m , n].\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Hai số nguyên dương m và n cách nhau khoảng trắng (1 <= m < n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Một số nguyên dương duy nhất: số lượng các số đầu cuối k (m <= k <= n).\\r\\n\\r\\nVí dụ 1\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n5 7\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n3\\r\\n```\\r\\nVí dụ 2\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n12 75\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n5\\r\\n```\\r\\nVí dụ 3\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n141 305\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n17\\r\\n```"
24,I love TVU,"Viết chương trình in ra màn hình dòng chữ \\""""I love TVU\\"""".\\r\\n**Input**\\r\\n----------\\r\\n\\r\\nKhông có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\nI love TVU"
25,In giá trị 3 biến,"Viết chương trình khai báo 3 biến a, b, c lần lượt có kiểu dữ liệu là int, float và char. Khởi tạo giá trị cho 3 biến lần lượt là 100, 8.95 và \\C\\, sau đó in giá trị của các biến ra màn hình theo định dạng như sau:\\r\\n\\r\\n    So nguyen: 100\\r\\n    So thuc: 8.95\\r\\n    Ky tu: C\\r\\n**Input**\\r\\n----------\\r\\n\\r\\n    Không có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n    So nguyen: 100\\r\\n    So thuc: 8.95\\r\\n    Ky tu: C"
26,Tính diện tích xung quanh sân trường,"Viết chương trình giải bài toán sau:\\r\\n\\r\\nSân trường hình thang có đáy lớn là 50 m, đáy bé là 23m và chiều cao 30 m. Giữa sân, người ta xây một bồn hoa hình tròn có chu vi 12.56 m. Tính diện tích còn lại của sân trường?\\r\\n**Input**\\r\\n----------\\r\\n\\r\\nKhông có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\nDiện tích phần còn lại (làm tròn đến 2 số lẻ)\\r\\n\\r\\n----------\\r\\n**Lưu ý:**     Số PI = 3.14"
27,Tính doanh thu,"Viết chương trình giải bài toán sau:\\r\\n\\r\\nCông ty A cần tính doanh thu trong ngày dựa trên số lượng hàng, đơn giá và chi phí vận chuyển như sau: \\r\\n\\r\\nDoanh thu = số lượng * đơn giá – chi phí vận chuyển.\\r\\n\\r\\nVới số lượng, đơn giá và chi phí vận chuyển được nhập từ bàn phím\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên dương SL (0 < SL <= 10^3) : số lượng\\r\\n* Số nguyên dương DG (10^3 <= DG <= 10^8) : đơn giá\\r\\n* Số nguyên dương CP (10^3 <= CP <= 10^8) : chi phí vận chuyển\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Số nguyên dương duy nhất DT :  doanh thu \\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n10\\r\\n150000\\r\\n50000\\r\\n\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1450000\\r\\n```"
28,Đường ray tàu hỏa Q,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n4\\r\\n1 3 4 2\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n5\\r\\n2 3 5 4 1\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\nNO\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #3**\\r\\n```\\r\\n5\\r\\n1 4 2 3 5\\r\\n```\\r\\n**Output #3**\\r\\n```\\r\\nYES\\r\\n```
29,Nhập và xuất chuỗi ký tự,Viết chương trình khai báo 3 biến gồm: mã số sinh viên (kiểu chuỗi ký tự
30,Đếm chữ số lẻ và chữ số chẵn của một số nguyên,"Cho n là số tự nhiên lớn hơn 0, viết chương trình đếm số chữ số là số lẻ\\r\\nvà chữ số chẵn của n (với n được nhập từ bàn phím) và in kết quả ra màn hình.\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (0 < n <= 10^4)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Số chữ số lẻ của n \\r\\n* Số chữ số chẵn của n \\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n0\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n3690\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n2\\r\\n```"
31,Tính tổng các chữ số nguyên tố của một số nguyên,"Cho n là số tự nhiên lớn hơn 0, viết chương trình tính tổng các chữ số là số nguyên tố của n và in kết quả ra màn hình.\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (0 < n <= 10^5)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Tổng các chữ số nguyên tố của n \\r\\n\\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n0\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n12597\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n14\\r\\n```"
32,Bảng cửu chương của n,"Cho n là số tự nhiên lớn hơn 0 và nhỏ 10, viết chương trình in ra màn hình bảng cửu chương n..\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (0 < n < 10)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Bảng cửu chương của n có 10 dòng\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n3\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n3 x 1 = 3\\r\\n3 x 2 = 6\\r\\n3 x 3 = 9\\r\\n3 x 4 = 12\\r\\n3 x 5 = 15\\r\\n3 x 6 = 18\\r\\n3 x 7 = 21\\r\\n3 x 8 = 24\\r\\n3 x 9 = 27\\r\\n3 x 10 = 30\\r\\n```"
33,Tính giá trị các biểu thức phần 1,
34,Tính giá trị các biểu thức phần 2,
35,Giải phương trình bậc nhất,
36,Giải phương trình bậc hai,
37,Giá trị tuyệt đối,"Viết chương trình nhập vào 2 số nguyên **a** và **b**. Tính và in ra giá trị tuyệt đối của **a - b**.\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\n- Gồm một dòng duy nhất chứa 2 số nguyên **a** và **b** cách nhau 1 khoảng trống (|a|, |b| <= 10^6).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n- Một số duy nhất là giá trị **|a - b|** tính được.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n3 5\\r\\n```\\r\\n\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n```"
38,Số nguyên tố,Viết hàm kiểm tra số nguyên N là một số nguyên tố: trả về 0 nếu N là số nguyên tố ngược lại trả về 1 với n <= 10^9. Hãy xây dựng một chương trình nhập vào từ bàn phím một số nguyên N và xuất ra giá trị hàm kiểm tra số nguyên tố của N.\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (n <= 10^9)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Giá trị hàm kiểm tra số nguyên tố của n \\r\\n\\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n13\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n0\\r\\n```
39,Đếm và tính tổng các số nguyên tố,"Viết chương trình nhập vào từ bàn phím hai số nguyên x và y (-10^6 <= x < y <= 10^6) và in ra màn hình giá trị hai hàm sau:\\r\\n\\r\\n* Hàm đếm số lượng số nguyên tố trong đoạn [x , y]\\r\\n* Hàm tính tổng các số nguyên tố trong đoạn [x , y]  \\r\\n\\r\\n**Input**\\r\\n----------\\r\\n* Hai số nguyên x và y (-10^6 <= x < y <= 10^6)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Giá trị hàm đếm số lượng số nguyên tố trong đoạn [x , y]\\r\\n* Giá trị hàm tính tổng các số nguyên tố trong đoạn [x , y] \\r\\n\\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n-1 10\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n4\\r\\n17\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n8 9\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n0\\r\\n0\\r\\n```"
40,Tìm số dương đầu tiên,Cho mảng một chiều số thực A có n phần tử (1 <= n <= 1000
41,Tìm vị trí nhỏ nhất đầu tiên,Cho mảng một chiều số thực A có n phần tử (1 <= n <= 1000
42,Tìm số chẵn cuối cùng,Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000
43,Đếm số < 100,Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000
44,Tính tổng các phần tử  trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
45,Tính tổng các phần tử chẵn trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
46,Đếm các phần tử số nguyên tố trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
